Hillsong United,Unidos Permanecemos
Para Exaltarte - Live,1
Correre - Live,1
Desde Mi Interior - Live,1
Cancion Del Desierto - Live,1
Rey Salvador - Live,1
Poderoso Para Salvar - Live,1
En La Cruz - Live,1
Soy Libre - Live,1
Poderoso - Live,1
Solo Cristo - Live,1
Es Nuestro Dios - Live,1
Eres Mi Fortaleza - Live,1
Con Todo - Live,1
Es Tiempo (The Time Has Come) - Live,1
Tomalo (Take It All) - Live,1
Su Jijo Dio (From God Above) - Live,1
Desde Mi Interior (From The Inside Out) - Live,1
Me Viniste A Rescatar (Came To My Rescue) - Live,1
Repeticion (A Reprise) - Live,1
Solo Cristo (None But Jesus) - Live,1
!AST!AST!AST!ASTSelah - Live,1
Fuego De Dios (Fire Fall Down) - Live,1
La Revolucion (Revolution) - Live,1
Venga Tu Reino (Kingdom Come) - Live,1
Nadie Hay Como Tu (No One Like You) - Live,1
Soberano (Sovereign Hands) - Live,1
Aqui Estoy (The Stand) - Live,1
Aleluya (Hallelujah) - Live,1
A Mi Corazón Tranquilizarás,1
Somos la Luz,1
Mi Mayor Pasión,1
Vuelvo a Tus Pies,1
Mi Salvador,1
Cada Estrella,1
Que Bello Amor,1
Nos Levantaremos,1
A Tí Correré,1
Tu Amor Vino a Mi,1
Tu Nombre Exaltaré,1
Aquí Está,1
